Davis,Frank,80.0,80.0,80.0,70.0,80.0,90.0,80.0
Dodd,George,90.0,100.0,90.0,90.0,90.0,95.0,92.5
Floyd,Arnold,100.0,90.0,90.0,90.0,100.0,95.0,94.2
Gino,Michelle,100.0,80.0,90.0,80.0,90.0,90.0,88.3
Hanks,David,80.0,100.0,80.0,70.0,90.0,95.0,85.8
Hires,George,70.0,80.0,80.0,80.0,70.0,90.0,78.3
James,Ray,90.0,90.0,90.0,90.0,90.0,95.0,90.8
Johnson,Jack,80.0,80.0,80.0,90.0,80.0,100.0,85.0
Kellog,Ellen,70.0,90.0,80.0,80.0,70.0,95.0,80.8
Little,Joyce,90.0,80.0,80.0,80.0,80.0,90.0,83.3
Lloyd,Oliver,70.0,80.0,80.0,70.0,80.0,85.0,77.5
Oldman,Lea,80.0,80.0,80.0,80.0,80.0,95.0,82.5
Paul,Helen,100.0,90.0,90.0,100.0,100.0,95.0,95.8
Pierre,Frenchie,80.0,70.0,70.0,70.0,70.0,90.0,75.0
Pope,Lea,80.0,90.0,90.0,80.0,80.0,95.0,85.8
Rankle,Violet,90.0,90.0,90.0,90.0,90.0,95.0,90.8
Reece,Clara,80.0,80.0,80.0,80.0,90.0,90.0,83.3
Rivera,Nelson,80.0,70.0,70.0,70.0,90.0,85.0,77.5
Sax,Lola,60.0,80.0,70.0,60.0,70.0,85.0,70.8
Serot,Xavier,90.0,90.0,100.0,100.0,100.0,95.0,95.8
Sossman,Warren,70.0,60.0,70.0,70.0,70.0,85.0,70.8
Tao,Sara,80.0,70.0,70.0,70.0,70.0,90.0,75.0
Tatter,Jennifer,100.0,80.0,90.0,90.0,90.0,95.0,90.8
Todd,Leo,90.0,90.0,80.0,80.0,80.0,95.0,85.8
Webb,Paris,70.0,80.0,90.0,70.0,70.0,85.0,77.5
Williams,Martin,90.0,90.0,90.0,90.0,100.0,95.0,92.5
Xavier,Felix,90.0,90.0,80.0,90.0,80.0,90.0,86.7
Yao,Jackie,100.0,90.0,90.0,100.0,90.0,95.0,94.2
Yates,Forest,100.0,100.0,90.0,100.0,90.0,95.0,95.8
Zera,Paul,80.0,90.0,90.0,90.0,80.0,90.0,86.7
